userName,at,content
Pengguna Google,2024-12-09 16:18:34,Kenapa sering terjadi kesalahan saat ingin login dan transaksi ?? Apakah aplikasi ini sudah sempurna ??? Sehingga nasabah di sarankan pindah dari mobile bni ke wondr?? Belakangan sering terjadi kesalahan saat login dan transaksi sangat menganggu aktvitas pembayaran Di era digital kebanyakan transaksi menggunakan mobile tapi jikalau aplikasi seperti ini terus lebih mending ganti bank lain aja gak mana atm sering bgttt kosong gk ada uangnyaa susah bgtt yaa
Pengguna Google,2024-12-09 16:17:54,Catatan nya semakin sering di pakai buat transaksi virtual ataupun e-wallet semakin lama loading nya
Pengguna Google,2024-12-09 16:17:13,Butut
Pengguna Google,2024-12-09 16:15:46,SAYA KAPOK PAKEK BNI SERING ERROR GAK KEK BRI AMA BCA UDAH PAKEK 3 TH TAPI GAK PERNAH ERROR TAPI SETELAH PAKEK BNI BEHHHHH ERROR KOK HAMPIR TIAP HARI... (INTINYA PELAYANAN NYA KURANG BAGUS)
Pengguna Google,2024-12-09 16:15:28,Tidak bisa login saat sedang ingin melakukan transaksi. Konyol!
Pengguna Google,2024-12-09 16:15:14,aplikasi sering eror mungkin bisa ditambah untuk menu setor dan tarik tunai
Pengguna Google,2024-12-09 16:14:58,"Aplikasi mobile banking gak rekomen. Percuma BUMN, tapi sering gangguan. Sumpah gak nyaman zama aplikasi ini. Banyakin perbaikan nya yaaa!!!!!"
Pengguna Google,2024-12-09 16:13:29,Parah smkin kesini semakin jlk aplikasi ini asu
Pengguna Google,2024-12-09 16:13:26,Sering eror. Dan sering pulang pas mau bayar pake Qris jadi malu sndiri. Gak ky m banking bank sebelah gak pernah kegini
Pengguna Google,2024-12-09 16:13:20,GANGGUAN TOK LEMOTTT PUOLLLLLL
Pengguna Google,2024-12-09 16:12:14,"Gagal bni , ga bisa di andelin buat fast Apk wondr msh kurang canggih orang it nya sering erorrr"
Pengguna Google,2024-12-09 16:11:06,"Aplikasi apa ini,mobile tunai tidak ada/belum ada. Keseringan error lagi"
Pengguna Google,2024-12-09 16:09:36,"Susah banget mau login loadingnya lama, sudah ditunggu-tunggu malah dibilang sesi habis silahkan login ulang, padahal login aja belom sempet"
Pengguna Google,2024-12-09 16:07:34,Aplikasi kebanyakan eror nya
Pengguna Google,2024-12-09 16:06:57,Good
Pengguna Google,2024-12-09 16:05:53,Payah masuk banyak bug nya gak cocok aplikasi nya
Pengguna Google,2024-12-09 16:04:35,Menjengkelkan banget sering troble Ajur fasilitas bni
Pengguna Google,2024-12-09 16:03:23,"Gak jelas tiba-tiba tidak bisa dibuka kembali sendiri ,tidak bisa di pakai"
Pengguna Google,2024-12-09 15:54:11,"Blug Baru login "" sesi anda berakhir"" Berkali"" Hadeee"
Pengguna Google,2024-12-09 15:46:46,"Gajelas nih apk!!! Mending pake bni mobile, baru login dibilang sesi login anda telah berakhir, ngabisin waktu ulang2 twrus gajetotflah"
Pengguna Google,2024-12-09 15:34:47,Bedanya sama Bni Mobile Banking apa kak?
Pengguna Google,2024-12-09 15:34:25,"Apk jelek sering keluar sendiri sebelum transaksi, mending pake apk BNI yg dulu, kebanyakan error"
Pengguna Google,2024-12-09 15:29:39,"Kenapa sllu mau login itu, bilangnya sesi kmu sudah hbis, jelas2 waktu msih bnyak"
Pengguna Google,2024-12-09 15:24:02,Banyak masalah yang sering terjadi
Pengguna Google,2024-12-09 15:18:42,sering minta log in ulang itu kenapa ya kk...pdhal bru buka dan mau transfer..
Pengguna Google,2024-12-09 15:17:25,Semoga tambah baik trus
Pengguna Google,2024-12-09 15:16:45,"Buruk, terlalu sering atau keluar otomatis"
Pengguna Google,2024-12-09 15:13:04,Aplikasi ga jelas
Pengguna Google,2024-12-09 15:09:37,Aplikasinya sangat mudah di proses
Pengguna Google,2024-12-09 15:06:29,"Min, kenapa sering logout sendiri ketika sedang transaksi ya?"
Pengguna Google,2024-12-09 14:55:09,Terlalu sering lost connect apalagi pas buka Ewalletnya
