content,case_folding,cleansing,normalized_reviews
good,good,good,good
"apk oon ribett, registrasi kaga bisa² hapus aja ini apk, udah bagus yg BNI, APK ga jelas taiii","apk oon ribett, registrasi kaga bisa² hapus aja ini apk, udah bagus yg bni, apk ga jelas taiii",apk oon ribett registrasi kaga bisa hapus aja ini apk udah bagus yg bni apk ga jelas taiii,apk oon ribett registrasi kagak bisa hapus saja ini apk sudah bagus yang bni apk enggak jelas taiii
Kirim ke e wallet kenapa kok dibatasi Tidak seperti bni mobile,kirim ke e wallet kenapa kok dibatasi tidak seperti bni mobile,kirim ke e wallet kenapa kok dibatasi tidak seperti bni mobile,kirim ke e wallet kenapa kok dibatasi tidak seperti bni mobile
Balikin lagi ke BNI m banking yg lama yg merah lebih keren kelihatan elegant ga terlihat cupu dan PD kita pake nya fitur nya lebih lengkap dan familiar user friendly dan kesan nya berkelas ngga kayak yg baru ini kayak apk ecek2 kesan nya seperti APK ngga penting aja. Harus nya fitur lebih baik user interface nya lebih mewah tampilan nya bukan malah sebalik nya kek gini fungsionalitas nya jga gak yakin saya bakal sebagus BNI m banking yg merah,balikin lagi ke bni m banking yg lama yg merah lebih keren kelihatan elegant ga terlihat cupu dan pd kita pake nya fitur nya lebih lengkap dan familiar user friendly dan kesan nya berkelas ngga kayak yg baru ini kayak apk ecek2 kesan nya seperti apk ngga penting aja. harus nya fitur lebih baik user interface nya lebih mewah tampilan nya bukan malah sebalik nya kek gini fungsionalitas nya jga gak yakin saya bakal sebagus bni m banking yg merah,balikin lagi ke bni m banking yg lama yg merah lebih keren kelihatan elegant ga terlihat cupu dan pd kita pake nya fitur nya lebih lengkap dan familiar user friendly dan kesan nya berkelas ngga kayak yg baru ini kayak apk ecek kesan nya seperti apk ngga penting aja harus nya fitur lebih baik user interface nya lebih mewah tampilan nya bukan malah sebalik nya kek gini fungsionalitas nya jga gak yakin saya bakal sebagus bni m banking yg merah,balikin lagi ke bni sama banking yang lama yang merah lebih keren kelihatan elegant enggak terlihat cupu dan pada kita pakai nya fitur nya lebih lengkap dan familiar user friendly dan kesan nya berkelas enggak kayak yang baru ini kayak apk ecek kesan nya seperti apk enggak penting saja harus nya fitur lebih baik user interface nya lebih mewah tampilan nya bukan malah sebalik nya kayak begini fungsionalitas nya juga enggak yakin saya bakal sebagus bni sama banking yang merah
Size nya besar yaaa... Tiga ratusan mega. Mobile banking yang lama saja seratusan Mega. Dikecil kan lagi dong 🙏🏻🙏🏻🙏🏻,size nya besar yaaa... tiga ratusan mega. mobile banking yang lama saja seratusan mega. dikecil kan lagi dong 🙏🏻🙏🏻🙏🏻,size nya besar yaaa tiga ratusan mega mobile banking yang lama saja seratusan mega dikecil kan lagi dong ,size nya besar ya tiga ratusan mega mobile banking yang lama saja seratusan mega dikecil kan lagi dong
terimakasih bni. aplikasi selalu memudahkan dan sesimple itu. makin baik kedepannya ya,terimakasih bni. aplikasi selalu memudahkan dan sesimple itu. makin baik kedepannya ya,terimakasih bni aplikasi selalu memudahkan dan sesimple itu makin baik kedepannya ya,terimakasih bni aplikasi selalu memudahkan dan sesimple itu makin baik kedepannya ya
Selalu gagal verifikasi wajah padahal sudah mengikuti arahan,selalu gagal verifikasi wajah padahal sudah mengikuti arahan,selalu gagal verifikasi wajah padahal sudah mengikuti arahan,selalu gagal verifikasi wajah padahal sudah mengikuti arahan
Waktu daftar kenapa harus masukin nomor kartu debit atau kredit,waktu daftar kenapa harus masukin nomor kartu debit atau kredit,waktu daftar kenapa harus masukin nomor kartu debit atau kredit,waktu daftar kenapa harus memasuki nomor kartu debit atau kredit
Ini gimana sih ud log in ko balik ke awal lagi ke awal lagi aneh,ini gimana sih ud log in ko balik ke awal lagi ke awal lagi aneh,ini gimana sih ud log in ko balik ke awal lagi ke awal lagi aneh,ini bagaimana sih sudah log ini kok balik ke awal lagi ke awal lagi aneh
"Aplikasi wondr by BNI mudah dipakai, gampang juga buat registnya. Fiturny juga gak bikin bingung dan csny pun fast respon. Sangat membantu transaksi, dan yg pastiny ga lelet!","aplikasi wondr by bni mudah dipakai, gampang juga buat registnya. fiturny juga gak bikin bingung dan csny pun fast respon. sangat membantu transaksi, dan yg pastiny ga lelet!",aplikasi wondr by bni mudah dipakai gampang juga buat registnya fiturny juga gak bikin bingung dan csny pun fast respon sangat membantu transaksi dan yg pastiny ga lelet,aplikasi wondr by bni mudah dipakai mudah juga buat registnya fiturny juga enggak bikin bingung dan csny pun fast respon sangat membantu transaksi dan yang pastiny enggak lelet
kenapa yaa elor terusss awal nya bisa sekarang elor teruss,kenapa yaa elor terusss awal nya bisa sekarang elor teruss,kenapa yaa elor terusss awal nya bisa sekarang elor teruss,kenapa ya elor terus awal nya bisa sekarang elor terus
"Untuk metode pembayaran pendidikan di wonder kenapa hanya ada UI saja yah, mohon ditambahkan seperti di app sebelum nya","untuk metode pembayaran pendidikan di wonder kenapa hanya ada ui saja yah, mohon ditambahkan seperti di app sebelum nya",untuk metode pembayaran pendidikan di wonder kenapa hanya ada ui saja yah mohon ditambahkan seperti di app sebelum nya,untuk metode pembayaran pendidikan di wonder kenapa hanya ada ui saja ya mohon ditambahkan seperti di app sebelum nya
"Aplikasinya membantu banget buat transaksi apapun, apalagi promo nya banyak banget. Sangat diperlukan untuk bertransaksi","aplikasinya membantu banget buat transaksi apapun, apalagi promo nya banyak banget. sangat diperlukan untuk bertransaksi",aplikasinya membantu banget buat transaksi apapun apalagi promo nya banyak banget sangat diperlukan untuk bertransaksi,aplikasinya membantu banget buat transaksi apapun apalagi promo nya banyak banget sangat diperlukan untuk bertransaksi
"spasih login g bisa,sesi anda telah berakhir,saya coba install ulang ,sama aja warningnya sesi anda telah berakhir","spasih login g bisa,sesi anda telah berakhir,saya coba install ulang ,sama aja warningnya sesi anda telah berakhir",spasih login g bisasesi anda telah berakhirsaya coba install ulang sama aja warningnya sesi anda telah berakhir,spasih login enggak bisasesi anda telah berakhirsaya coba install ulang sama saja warningnya sesi anda telah berakhir
"Ini aplikasi apaan, tiap kali masuk harus verifikasi data lagi, poto ktp dll, udah gitu vermuk nya susah banget, pindah aja ke mobile banking lain","ini aplikasi apaan, tiap kali masuk harus verifikasi data lagi, poto ktp dll, udah gitu vermuk nya susah banget, pindah aja ke mobile banking lain",ini aplikasi apaan tiap kali masuk harus verifikasi data lagi poto ktp dll udah gitu vermuk nya susah banget pindah aja ke mobile banking lain,ini aplikasi apaan tiap kali masuk harus verifikasi data lagi poto ktp dll sudah begitu vermuk nya susah banget pindah saja ke mobile banking lain
Lelet bgt,lelet bgt,lelet bgt,lelet banget
"Dalam 3 bulan terakhir sudah 3 kali transaksi gagal tapi saldo berkurang. Memang uang kembali, tapi harus nunggu 20HK. Skrg kejadian yang ke 3 kali nya, harus nunggu lagi 20HK. Payah ini aplikasi. Jawaban CS BNI pun tidak membuat puas. Apa bedanya CS sama chat BOT kalo gitu?. ..... Proses yang sebelumnya belum terselesaikan, sudah kejadian lagi transaksi gagal tapi saldo berkurang, ampas emg ini bank. Ko bintang 1 nya pada di hapus, ga terima kalo emg bener ini aplikasi ampas.","dalam 3 bulan terakhir sudah 3 kali transaksi gagal tapi saldo berkurang. memang uang kembali, tapi harus nunggu 20hk. skrg kejadian yang ke 3 kali nya, harus nunggu lagi 20hk. payah ini aplikasi. jawaban cs bni pun tidak membuat puas. apa bedanya cs sama chat bot kalo gitu?. ..... proses yang sebelumnya belum terselesaikan, sudah kejadian lagi transaksi gagal tapi saldo berkurang, ampas emg ini bank. ko bintang 1 nya pada di hapus, ga terima kalo emg bener ini aplikasi ampas.",dalam  bulan terakhir sudah  kali transaksi gagal tapi saldo berkurang memang uang kembali tapi harus nunggu hk skrg kejadian yang ke  kali nya harus nunggu lagi hk payah ini aplikasi jawaban cs bni pun tidak membuat puas apa bedanya cs sama chat bot kalo gitu  proses yang sebelumnya belum terselesaikan sudah kejadian lagi transaksi gagal tapi saldo berkurang ampas emg ini bank ko bintang  nya pada di hapus ga terima kalo emg bener ini aplikasi ampas,dalam bulan terakhir sudah kali transaksi gagal tapi saldo berkurang memang uang kembali tapi harus menunggu hk sekarang kejadian yang ke kali nya harus menunggu lagi hk payah ini aplikasi jawaban cs bni pun tidak membuat puas apa bedanya cs sama chat bot kalo begitu proses yang sebelumnya belum terselesaikan sudah kejadian lagi transaksi gagal tapi saldo berkurang ampas memang ini bank kok bintang nya pada di hapus enggak terima kalo memang benar ini aplikasi ampas
"Halo BNI, kalau sdh pakai wondr bni, aplikasi mobile banking yg sebelumnya bagaimana? Tetap digunakan atau log out? Atau dihapus?","halo bni, kalau sdh pakai wondr bni, aplikasi mobile banking yg sebelumnya bagaimana? tetap digunakan atau log out? atau dihapus?",halo bni kalau sdh pakai wondr bni aplikasi mobile banking yg sebelumnya bagaimana tetap digunakan atau log out atau dihapus,halo bni kalau sudah pakai wondr bni aplikasi mobile banking yang sebelumnya bagaimana tetap digunakan atau log out atau dihapus
Tingkatkan terus pelayanannya...,tingkatkan terus pelayanannya...,tingkatkan terus pelayanannya,tingkatkan terus pelayanannya
"Fitur tarik tunai tanpa kartu nya tidak tersedia,kecewa","fitur tarik tunai tanpa kartu nya tidak tersedia,kecewa",fitur tarik tunai tanpa kartu nya tidak tersediakecewa,fitur tarik tunai tanpa kartu nya tidak tersediakecewa
"Huhft , dear wondr by BNI, saya ingin mengeluhkan tentang kendala yg sering saya alami pada saat menggunakan aplikasi ini, mengapa terkadang aplikasi anda mengirimkan notif fitur ini tidak tersedia ketika saya ingin melakukan transaksi , padahal posisi saya ada di perkotaan yg memiliki akses internet yg stabil, mohon di perbaiki kembali aplikasinya, karena ini mengenai transaksi uang, sekian terimakasih","huhft , dear wondr by bni, saya ingin mengeluhkan tentang kendala yg sering saya alami pada saat menggunakan aplikasi ini, mengapa terkadang aplikasi anda mengirimkan notif fitur ini tidak tersedia ketika saya ingin melakukan transaksi , padahal posisi saya ada di perkotaan yg memiliki akses internet yg stabil, mohon di perbaiki kembali aplikasinya, karena ini mengenai transaksi uang, sekian terimakasih",huhft  dear wondr by bni saya ingin mengeluhkan tentang kendala yg sering saya alami pada saat menggunakan aplikasi ini mengapa terkadang aplikasi anda mengirimkan notif fitur ini tidak tersedia ketika saya ingin melakukan transaksi  padahal posisi saya ada di perkotaan yg memiliki akses internet yg stabil mohon di perbaiki kembali aplikasinya karena ini mengenai transaksi uang sekian terimakasih,huhft dear wondr by bni saya ingin mengeluhkan tentang kendala yang sering saya alami pada saat menggunakan aplikasi ini mengapa terkadang aplikasi anda mengirimkan notif fitur ini tidak tersedia ketika saya ingin melakukan transaksi padahal posisi saya ada di perkotaan yang memiliki akses internet yang stabil mohon di perbaiki kembali aplikasinya karena ini mengenai transaksi uang sekian terimakasih
Mau masukin no debitnya gagal terus.. padahal sudah benar salah terus disuruh isi besok lagi. Gimana ini,mau masukin no debitnya gagal terus.. padahal sudah benar salah terus disuruh isi besok lagi. gimana ini,mau masukin no debitnya gagal terus padahal sudah benar salah terus disuruh isi besok lagi gimana ini,mau memasuki no debitnya gagal terus padahal sudah benar salah terus disuruh isi besok lagi bagaimana ini
Mantap,mantap,mantap,mantap
"Disuruh pindah dari mbank ke wonder, tapi gak ada opsi tarik tunai tanpa kartu. Tidak menarik.","disuruh pindah dari mbank ke wonder, tapi gak ada opsi tarik tunai tanpa kartu. tidak menarik.",disuruh pindah dari mbank ke wonder tapi gak ada opsi tarik tunai tanpa kartu tidak menarik,disuruh pindah dari mbank ke wonder tapi enggak ada opsi tarik tunai tanpa kartu tidak menarik
"sejak ada fitur wondr by bni transaksi makin mudah, dan ada banyak promo gaiss kalau transaksi pake qris di aplikasi wondr di hari hari tertentu, buruan download gaisss","sejak ada fitur wondr by bni transaksi makin mudah, dan ada banyak promo gaiss kalau transaksi pake qris di aplikasi wondr di hari hari tertentu, buruan download gaisss",sejak ada fitur wondr by bni transaksi makin mudah dan ada banyak promo gaiss kalau transaksi pake qris di aplikasi wondr di hari hari tertentu buruan download gaisss,sejak ada fitur wondr by bni transaksi makin mudah dan ada banyak promo gaiss kalau transaksi pakai qris di aplikasi wondr di hari hari tertentu buruan download gaisss
"saya sdh mendaftar dan isi segala yg di minta dari norek dan fasword saya dan data2 saya,tapi mau login kembali ke aplikasi ini tidak bisa,mohon jika ada terjadi sesuatu saya harap aplikasi anda bisa bertanggung jawab.tks","saya sdh mendaftar dan isi segala yg di minta dari norek dan fasword saya dan data2 saya,tapi mau login kembali ke aplikasi ini tidak bisa,mohon jika ada terjadi sesuatu saya harap aplikasi anda bisa bertanggung jawab.tks",saya sdh mendaftar dan isi segala yg di minta dari norek dan fasword saya dan data sayatapi mau login kembali ke aplikasi ini tidak bisamohon jika ada terjadi sesuatu saya harap aplikasi anda bisa bertanggung jawabtks,saya sudah mendaftar dan isi segala yang di meminta dari norek dan fasword saya dan data sayatapi mau login kembali ke aplikasi ini tidak bisamohon jika ada terjadi sesuatu saya harap aplikasi anda bisa bertanggung jawabtks
"apk tolol, sudah lama pakai, tiba tiba gak bisa login,","apk tolol, sudah lama pakai, tiba tiba gak bisa login,",apk tolol sudah lama pakai tiba tiba gak bisa login,apk tolol sudah lama pakai tiba tiba enggak bisa login
Kntl pig,kntl pig,kntl pig,kntl pig
"Susah sekali masuk lagi , verivikasi wajah , selalu ada kendala di team kami . Ini aplikasi gmn ya , kok banyak kendala","susah sekali masuk lagi , verivikasi wajah , selalu ada kendala di team kami . ini aplikasi gmn ya , kok banyak kendala",susah sekali masuk lagi  verivikasi wajah  selalu ada kendala di team kami  ini aplikasi gmn ya  kok banyak kendala,susah sekali masuk lagi verivikasi wajah selalu ada kendala di team kami ini aplikasi bagaimana ya kok banyak kendala
"wondr by BNI ini benar-benar mengubah cara saya mengatur keuangan. Fitur-fitur seperti budgeting dan saving goals sangat membantu saya untuk lebih disiplin dalam menabung. Tampilannya juga intuitif, jadi saya bisa dengan mudah menemukan fitur yang saya butuhkan. Pokoknya, aplikasi ini bikin urusan finansial saya jadi lebih mudah dan menyenangkan!","wondr by bni ini benar-benar mengubah cara saya mengatur keuangan. fitur-fitur seperti budgeting dan saving goals sangat membantu saya untuk lebih disiplin dalam menabung. tampilannya juga intuitif, jadi saya bisa dengan mudah menemukan fitur yang saya butuhkan. pokoknya, aplikasi ini bikin urusan finansial saya jadi lebih mudah dan menyenangkan!",wondr by bni ini benarbenar mengubah cara saya mengatur keuangan fiturfitur seperti budgeting dan saving goals sangat membantu saya untuk lebih disiplin dalam menabung tampilannya juga intuitif jadi saya bisa dengan mudah menemukan fitur yang saya butuhkan pokoknya aplikasi ini bikin urusan finansial saya jadi lebih mudah dan menyenangkan,wondr by bni ini benarbenar mengubah cara saya mengatur keuangan fiturfitur seperti budgeting dan saving goals sangat membantu saya untuk lebih disiplin dalam menabung tampilannya juga intuitif jadi saya bisa dengan mudah menemukan fitur yang saya butuhkan pokoknya aplikasi ini bikin urusan finansial saya jadi lebih mudah dan menyenangkan
"Gagal terus di verifikasi wajah, anjirr","gagal terus di verifikasi wajah, anjirr",gagal terus di verifikasi wajah anjirr,gagal terus di verifikasi wajah anjir
"The app works perfectly, even in remote areas. My banking experience has never been smoother.","the app works perfectly, even in remote areas. my banking experience has never been smoother.",the app works perfectly even in remote areas my banking experience has never been smoother,the app works perfectly even ini remote areas my banking experience has never been smoother
Mempermudah transaksi,mempermudah transaksi,mempermudah transaksi,mempermudah transaksi
Tidak bisa cetak rekening koran online,tidak bisa cetak rekening koran online,tidak bisa cetak rekening koran online,tidak bisa cetak rekening koran online
"Perbaiki dlu aplikasinya, mau login disuruh daftar ulang terus","perbaiki dlu aplikasinya, mau login disuruh daftar ulang terus",perbaiki dlu aplikasinya mau login disuruh daftar ulang terus,perbaiki dulu aplikasinya mau login disuruh daftar ulang terus
"This app is exactly what I needed. Payments are so easy, and the UI is super smooth","this app is exactly what i needed. payments are so easy, and the ui is super smooth",this app is exactly what i needed payments are so easy and the ui is super smooth,this app is exactly what i needed payments are sok easy and the ui is super smooth
"Aplikasinya sangat mudah d pakai gk ribet lancar jg d pakai, saran kasih gitu tarik tunai tanpa kartu d semua bank bersama min","aplikasinya sangat mudah d pakai gk ribet lancar jg d pakai, saran kasih gitu tarik tunai tanpa kartu d semua bank bersama min",aplikasinya sangat mudah d pakai gk ribet lancar jg d pakai saran kasih gitu tarik tunai tanpa kartu d semua bank bersama min,aplikasinya sangat mudah di pakai enggak ribet lancar juga di pakai saran kasih begitu tarik tunai tanpa kartu di semua bank bersama min
"Wondr by BNI is a game-changer. I can manage my money so easily now, and it’s all in one app!","wondr by bni is a game-changer. i can manage my money so easily now, and it’s all in one app!",wondr by bni is a gamechanger i can manage my money so easily now and its all in one app,wondr by bni is a gamechanger i can manage my money sok easily now and its semua ini one app
sangat memudahkan sekali dalam transaksi the best lah,sangat memudahkan sekali dalam transaksi the best lah,sangat memudahkan sekali dalam transaksi the best lah,sangat memudahkan sekali dalam transaksi the bagus lah
"Loving the fresh design of Wondr. It’s clean, simple, and makes banking easy","loving the fresh design of wondr. it’s clean, simple, and makes banking easy",loving the fresh design of wondr its clean simple and makes banking easy,loving the fresh design of wondr its clean simple and makes banking easy
"Wondr has made banking so much easier. It’s simple to use, and everything I need is in one place","wondr has made banking so much easier. it’s simple to use, and everything i need is in one place",wondr has made banking so much easier its simple to use and everything i need is in one place,wondr has made banking sok much easier its simple tapi use and everything i need is ini one place
I’m so happy with Wondr. It’s a total upgrade from the previous app. Everything is streamlined,i’m so happy with wondr. it’s a total upgrade from the previous app. everything is streamlined,im so happy with wondr its a total upgrade from the previous app everything is streamlined,im sok happy with wondr its a total upgrade from the previous app everything is streamlined
"The fingerprint login is so secure, and it’s quick to use. Wondr is a total win!","the fingerprint login is so secure, and it’s quick to use. wondr is a total win!",the fingerprint login is so secure and its quick to use wondr is a total win,the fingerprint login is sok secure and its quick tapi use wondr is a total win
Sebagai pengguna BNI beneran puas pake apk wondr ini merasa terbantu dan juga sejauh ini aman ga pernah ada kendala,sebagai pengguna bni beneran puas pake apk wondr ini merasa terbantu dan juga sejauh ini aman ga pernah ada kendala,sebagai pengguna bni beneran puas pake apk wondr ini merasa terbantu dan juga sejauh ini aman ga pernah ada kendala,sebagai pengguna bni benaran puas pakai apk wondr ini merasa terbantu dan juga sejauh ini aman enggak pernah ada kendala
Aplikasinya bagus mudah login cuman 1 kurangnya fitur mobile tunai tidak ada kalau ATM ketinggal tidak bisa make wonder ngambil uang di ATM masih unggulan mobile banking,aplikasinya bagus mudah login cuman 1 kurangnya fitur mobile tunai tidak ada kalau atm ketinggal tidak bisa make wonder ngambil uang di atm masih unggulan mobile banking,aplikasinya bagus mudah login cuman  kurangnya fitur mobile tunai tidak ada kalau atm ketinggal tidak bisa make wonder ngambil uang di atm masih unggulan mobile banking,aplikasinya bagus mudah login cuman kurangnya fitur mobile tunai tidak ada kalau atm ketinggal tidak bisa memakai wonder ngambil uang di atm masih unggulan mobile banking
"transaksi belum berhasil tapi saldo terpotong, transfer dari jam 23:27 ditungguin sampe jam 12:20 siang masih belum masuk saldonya ini gimna ya pihak Wondr tolong bantu 🙏🏻","transaksi belum berhasil tapi saldo terpotong, transfer dari jam 23:27 ditungguin sampe jam 12:20 siang masih belum masuk saldonya ini gimna ya pihak wondr tolong bantu 🙏🏻",transaksi belum berhasil tapi saldo terpotong transfer dari jam  ditungguin sampe jam  siang masih belum masuk saldonya ini gimna ya pihak wondr tolong bantu ,transaksi belum berhasil tapi saldo terpotong transfer dari jam ditungguin sampai jam siang masih belum masuk saldonya ini bagaimana ya pihak wondr tolong bantu
"So glad I switched to Wondr. The interface is much smoother, and payments are lightning-fast","so glad i switched to wondr. the interface is much smoother, and payments are lightning-fast",so glad i switched to wondr the interface is much smoother and payments are lightningfast,sok glad i switched tapi wondr the interface is much smoother and payments are lightningfast
"Apknya bagus... Gk ribet, lancar... Belanja jadi mudah dengan wondr by BNI","apknya bagus... gk ribet, lancar... belanja jadi mudah dengan wondr by bni",apknya bagus gk ribet lancar belanja jadi mudah dengan wondr by bni,apknya bagus enggak ribet lancar belanja jadi mudah dengan wondr by bni
"Wondr is the future of banking. Everything is at your fingertips, and the UI is so slick","wondr is the future of banking. everything is at your fingertips, and the ui is so slick",wondr is the future of banking everything is at your fingertips and the ui is so slick,wondr is the future of banking everything is at your fingertips and the ui is sok slick
I can easily manage my finances on the go with Wondr. It’s super simple and fast!,i can easily manage my finances on the go with wondr. it’s super simple and fast!,i can easily manage my finances on the go with wondr its super simple and fast,i can easily manage my finances on the go with wondr its super simple and fast
"Wondr has been a game-changer for me. So quick, simple, and efficient!","wondr has been a game-changer for me. so quick, simple, and efficient!",wondr has been a gamechanger for me so quick simple and efficient,wondr has been a gamechanger for me sok quick simple and efficient
The transaction history is easy to read and gives me all the info I need to track my spending,the transaction history is easy to read and gives me all the info i need to track my spending,the transaction history is easy to read and gives me all the info i need to track my spending,the transaction history is easy tapi read and gives me semua the info i need tapi track my spending
Love the sleek design and simplicity of Wondr. Makes paying bills and transferring money a breeze,love the sleek design and simplicity of wondr. makes paying bills and transferring money a breeze,love the sleek design and simplicity of wondr makes paying bills and transferring money a breeze,love the sleek design and simplicity of wondr makes paying bills and transferring money a breeze
Kenapa kode verifikasi 6 digit tidak masuk masuk ke email saya?,kenapa kode verifikasi 6 digit tidak masuk masuk ke email saya?,kenapa kode verifikasi  digit tidak masuk masuk ke email saya,kenapa kode verifikasi digit tidak masuk masuk ke email saya
Super quick and secure. This app has made banking so much easier!,super quick and secure. this app has made banking so much easier!,super quick and secure this app has made banking so much easier,super quick and secure this app has made banking sok much easier
keren,keren,keren,keren
Aplikasinya belum lengkap gak ada mobile tunai semoga bisa lebih update terus,aplikasinya belum lengkap gak ada mobile tunai semoga bisa lebih update terus,aplikasinya belum lengkap gak ada mobile tunai semoga bisa lebih update terus,aplikasinya belum lengkap enggak ada mobile tunai semoga bisa lebih update terus
Baru download apk ini... Aktivasi cpat gk ribet... Suka sama apk ini lancar dan mudah,baru download apk ini... aktivasi cpat gk ribet... suka sama apk ini lancar dan mudah,baru download apk ini aktivasi cpat gk ribet suka sama apk ini lancar dan mudah,baru download apk ini aktivasi cpat enggak ribet suka sama apk ini lancar dan mudah
"Bagus fiturnya,aplikasinya juga mudah digunakan","bagus fiturnya,aplikasinya juga mudah digunakan",bagus fiturnyaaplikasinya juga mudah digunakan,bagus fiturnyaaplikasinya juga mudah digunakan
Sangat berguna sekali,sangat berguna sekali,sangat berguna sekali,sangat berguna sekali
Aplikasi baru terlengkap dan mudah digunakan,aplikasi baru terlengkap dan mudah digunakan,aplikasi baru terlengkap dan mudah digunakan,aplikasi baru terlengkap dan mudah digunakan
"UI nya sangat menarik dan menarik perhatian, pastinya mempermudah pemantauan keuangan saya karena bukti transaksi yg sangat detail","ui nya sangat menarik dan menarik perhatian, pastinya mempermudah pemantauan keuangan saya karena bukti transaksi yg sangat detail",ui nya sangat menarik dan menarik perhatian pastinya mempermudah pemantauan keuangan saya karena bukti transaksi yg sangat detail,ui nya sangat menarik dan menarik perhatian pastinya mempermudah pemantauan keuangan saya karena bukti transaksi yang sangat detail
ternyata untuk login saja ribet harus ada pin IKD yg mengharuskan ke dinas kependudukan huft.. uninstall saja lah,ternyata untuk login saja ribet harus ada pin ikd yg mengharuskan ke dinas kependudukan huft.. uninstall saja lah,ternyata untuk login saja ribet harus ada pin ikd yg mengharuskan ke dinas kependudukan huft uninstall saja lah,ternyata untuk login saja ribet harus ada pin ikd yang mengharuskan ke dinas kependudukan huft uninstall saja lah
"Aplikasi ini sangat membantu! Tampilan sederhana namun fungsional, cocok untuk semua kalangan. Semoga di depannya ditambah fitur menarik lainnya seperti tarik tunai tanpa kartu. Jaya terus BNI!","aplikasi ini sangat membantu! tampilan sederhana namun fungsional, cocok untuk semua kalangan. semoga di depannya ditambah fitur menarik lainnya seperti tarik tunai tanpa kartu. jaya terus bni!",aplikasi ini sangat membantu tampilan sederhana namun fungsional cocok untuk semua kalangan semoga di depannya ditambah fitur menarik lainnya seperti tarik tunai tanpa kartu jaya terus bni,aplikasi ini sangat membantu tampilan sederhana namun fungsional cocok untuk semua kalangan semoga di depannya ditambah fitur menarik lainnya seperti tarik tunai tanpa kartu jaya terus bni
"aplikasinya sangat berguna, membantu bgt buat mengontrol keuangan aku. wonder by ni juga memudahkan aku belanja❤❤","aplikasinya sangat berguna, membantu bgt buat mengontrol keuangan aku. wonder by ni juga memudahkan aku belanja❤❤",aplikasinya sangat berguna membantu bgt buat mengontrol keuangan aku wonder by ni juga memudahkan aku belanja,aplikasinya sangat berguna membantu banget buat mengontrol keuangan aku wonder by nih juga memudahkan aku belanja
"Overall fiturnya menarik, bagus dan juga simple. Tapi, boleh dong ditambah fitur tarik tunai gitu semisal saya mau tarik tunai tapi kartu fisiknya ketinggalan","overall fiturnya menarik, bagus dan juga simple. tapi, boleh dong ditambah fitur tarik tunai gitu semisal saya mau tarik tunai tapi kartu fisiknya ketinggalan",overall fiturnya menarik bagus dan juga simple tapi boleh dong ditambah fitur tarik tunai gitu semisal saya mau tarik tunai tapi kartu fisiknya ketinggalan,overall fiturnya menarik bagus dan juga simple tapi boleh dong ditambah fitur tarik tunai begitu semisal saya mau tarik tunai tapi kartu fisiknya ketinggalan
Aplikasi amat sangat membantu dan mempermudah pengguna nya,aplikasi amat sangat membantu dan mempermudah pengguna nya,aplikasi amat sangat membantu dan mempermudah pengguna nya,aplikasi amat sangat membantu dan mempermudah pengguna nya
"paling best sih ini apk nya, paling males kalo pin atm ke blokir terus harus reset ke kantor cabang. kalo pake apk ini ga perlu repot dehh, makasih bni","paling best sih ini apk nya, paling males kalo pin atm ke blokir terus harus reset ke kantor cabang. kalo pake apk ini ga perlu repot dehh, makasih bni",paling best sih ini apk nya paling males kalo pin atm ke blokir terus harus reset ke kantor cabang kalo pake apk ini ga perlu repot dehh makasih bni,paling bagus sih ini apk nya paling malas kalo pin atm ke blokir terus harus reset ke kantor cabang kalo pakai apk ini enggak perlu repot deh terima kasih bni
"Transaksi nya cepat mudah dan ga ribet, aplikasinya mudah untuk di gunakan","transaksi nya cepat mudah dan ga ribet, aplikasinya mudah untuk di gunakan",transaksi nya cepat mudah dan ga ribet aplikasinya mudah untuk di gunakan,transaksi nya cepat mudah dan enggak ribet aplikasinya mudah untuk di gunakan
"Aplikasi nya bagus,fiturnya jugak mudah,gampang digunakan","aplikasi nya bagus,fiturnya jugak mudah,gampang digunakan",aplikasi nya bagusfiturnya jugak mudahgampang digunakan,aplikasi nya bagusfiturnya juga mudahgampang digunakan
"Mantap, sudah gampang registernya sekarang (sudah diperbaiki). Review sekilas untuk fitur memang lebih menarik karena ada info management keuangan nya.","mantap, sudah gampang registernya sekarang (sudah diperbaiki). review sekilas untuk fitur memang lebih menarik karena ada info management keuangan nya.",mantap sudah gampang registernya sekarang sudah diperbaiki review sekilas untuk fitur memang lebih menarik karena ada info management keuangan nya,mantap sudah mudah registernya sekarang sudah diperbaiki review sekilas untuk fitur memang lebih menarik karena ada info management keuangan nya
"fitur yang sangat bagus, dan bermanfaat banget, mudah untuk di gunakan, menyala 🔥🔥🔥","fitur yang sangat bagus, dan bermanfaat banget, mudah untuk di gunakan, menyala 🔥🔥🔥",fitur yang sangat bagus dan bermanfaat banget mudah untuk di gunakan menyala ,fitur yang sangat bagus dan bermanfaat banget mudah untuk di gunakan menyala
"Saya baru download aplikasinya, aktivitas disini cepat dan ga ribet juga","saya baru download aplikasinya, aktivitas disini cepat dan ga ribet juga",saya baru download aplikasinya aktivitas disini cepat dan ga ribet juga,saya baru download aplikasinya aktivitas disini cepat dan enggak ribet juga
